Sentence,Word,Tag
77,Road,STR
78,Neha,PER
78,is,O
78,working,O
78,at,O
78,Wipro,ORG
78,in,O
78,Karnataka,STA
78,in,O
78,Bangalore,CIT
78,near,O
78,Park,STR
78,Street,STR
79,Arjun,PER
79,is,O
79,working,O
79,at,O
79,HCL,ORG
79,Technologies,ORG
79,in,O
79,Kerala,STA
79,in,O
79,Kochi,CIT
79,near,O
79,Anna,STR
79,Salai,STR
80,Kavita,PER
80,is,O
80,working,O
80,at,O
80,Tech,ORG
80,Mahindra,ORG
80,in,O
80,Andhra,STA
80,Pradesh,STA
80,in,O
80,Hyderabad,CIT
80,near,O
80,Link,STR
80,Road,STR
81,Amit,PER
81,is,O
81,working,O
81,at,O
81,Infosys,ORG
81,in,O
81,Tamil,STA
81,Nadu,STA
81,in,O
81,Chennai,CIT
81,near,O
81,MG,STR
81,Road,STR
82,Priya,PER
82,is,O
82,working,O
82,at,O
82,Tata,ORG
82,Consultancy,ORG
82,Services,ORG
82,in,O
82,Maharashtra,STA
82,in,O
82,Mumbai,CIT
82,near,O
82,Brigade,STR
82,Road,STR
83,Ravi,PER
83,is,O
83,working,O
83,at,O
83,Wipro,ORG
83,in,O
83,Karnataka,STA
83,in,O
83,Bangalore,CIT
83,near,O
83,Park,STR
83,Street,STR
84,Sneha,PER
84,is,O
84,working,O
84,at,O
84,HCL,ORG
84,Technologies,ORG
84,in,O
84,Kerala,STA
84,in,O
84,Kochi,CIT
84,near,O
84,Anna,STR
84,Salai,STR
85,Vikram,PER
85,is,O
85,working,O
85,at,O
85,Tech,ORG
85,Mahindra,ORG
85,in,O
85,Andhra,STA
85,Pradesh,STA
85,in,O
85,Hyderabad,CIT
85,near,O
85,Link,STR
85,Road,STR
86,Neha,PER
86,is,O
86,working,O
86,at,O
86,Infosys,ORG
86,in,O
86,Tamil,STA
86,Nadu,STA
86,in,O
86,Chennai,CIT
86,near,O
86,MG,STR
86,Road,STR
87,Arjun,PER
87,is,O
87,working,O
87,at,O
87,Tata,ORG
87,Consultancy,ORG
87,Services,ORG
87,in,O
87,Maharashtra,STA
87,in,O
87,Mumbai,CIT
87,near,O
87,Brigade,STR
87,Road,STR
88,Kavita,PER
88,is,O
88,working,O
88,at,O
88,Wipro,ORG
88,in,O
88,Karnataka,STA
88,in,O
88,Bangalore,CIT
88,near,O
88,Park,STR
88,Street,STR
89,Amit,PER
89,is,O
89,working,O
89,at,O
89,HCL,ORG
89,Technologies,ORG
89,in,O
89,Kerala,STA
89,in,O
89,Kochi,CIT
89,near,O
89,Anna,STR
89,Salai,STR
90,Priya,PER
90,is,O
90,working,O
90,at,O
90,Tech,ORG
90,Mahindra,ORG
90,in,O
90,Andhra,STA
90,Pradesh,STA
90,in,O
90,Hyderabad,CIT
90,near,O
90,Link,STR
90,Road,STR
91,Ravi,PER
91,is,O
91,working,O
91,at,O
91,Infosys,ORG
91,in,O
91,Tamil,STA
91,Nadu,STA
91,in,O
91,Chennai,CIT
91,near,O
91,MG,STR
91,Road,STR
92,Sneha,PER
92,is,O
92,working,O
92,at,O
92,Tata,ORG
92,Consultancy,ORG
92,Services,ORG
92,in,O
92,Maharashtra,STA
92,in,O
92,Mumbai,CIT
92,near,O
92,Brigade,STR
92,Road,STR
93,Vikram,PER
93,is,O
93,working,O
93,at,O
93,Wipro,ORG
93,in,O
93,Karnataka,STA
93,in,O
93,Bangalore,CIT
93,near,O
93,Park,STR
93,Street,STR
94,Neha,PER
94,is,O
94,working,O
94,at,O
94,HCL,ORG
94,Technologies,ORG
94,in,O
94,Kerala,STA
94,in,O
94,Kochi,CIT
94,near,O
94,Anna,STR
94,Salai,STR
95,Arjun,PER
95,is,O
95,working,O
95,at,O
95,Tech,ORG
95,Mahindra,ORG
95,in,O
95,Andhra,STA
95,Pradesh,STA
95,in,O
95,Hyderabad,CIT
95,near,O
95,Link,STR
95,Road,STR
96,Kavita,PER
96,is,O
96,working,O
96,at,O
96,Infosys,ORG
96,in,O
96,Tamil,STA
96,Nadu,STA
96,in,O
96,Chennai,CIT
96,near,O
96,MG,STR
96,Road,STR
97,Amit,PER
97,is,O
97,working,O
97,at,O
97,Tata,ORG
97,Consultancy,ORG
97,Services,ORG
97,in,O
97,Maharashtra,STA
97,in,O
97,Mumbai,CIT
97,near,O
97,Brigade,STR
97,Road,STR
98,Priya,PER
98,is,O
98,working,O
98,at,O
98,Wipro,ORG
98,in,O
98,Karnataka,STA
98,in,O
98,Bangalore,CIT
98,near,O
98,Park,STR
98,Street,STR
99,Ravi,PER
99,is,O
99,working,O
99,at,O
99,HCL,ORG
99,Technologies,ORG
99,in,O
99,Kerala,STA
99,in,O
99,Kochi,CIT
99,near,O
99,Anna,STR
99,Salai,STR
100,Sneha,PER
100,is,O
100,working,O
100,at,O
100,Tech,ORG
100,Mahindra,ORG
100,in,O
100,Andhra,STA
100,Pradesh,STA
100,in,O
100,Hyderabad,CIT
100,near,O
100,Link,STR
100,Road,STR
101,Vikram,PER
101,is,O
101,working,O
101,at,O
101,Infosys,ORG
101,in,O
101,Tamil,STA
101,Nadu,STA
101,in,O
101,Chennai,CIT
101,near,O
101,MG,STR
101,Road,STR
102,Neha,PER
102,is,O
102,working,O
102,at,O
102,Tata,ORG
102,Consultancy,ORG
102,Services,ORG
102,in,O
102,Maharashtra,STA
102,in,O
102,Mumbai,CIT
102,near,O
102,Brigade,STR
102,Road,STR
103,Arjun,PER
103,is,O
103,working,O
103,at,O
103,Wipro,ORG
103,in,O
103,Karnataka,STA
103,in,O
103,Bangalore,CIT
103,near,O
103,Park,STR
103,Street,STR
104,Kavita,PER
104,is,O
104,working,O
104,at,O
104,HCL,ORG
104,Technologies,ORG
104,in,O
104,Kerala,STA
104,in,O
104,Kochi,CIT
104,near,O
104,Anna,STR
104,Salai,STR
105,Amit,PER
105,is,O
105,working,O
105,at,O
105,Tech,ORG
105,Mahindra,ORG
105,in,O
105,Andhra,STA
105,Pradesh,STA
105,in,O
105,Hyderabad,CIT
105,near,O
105,Link,STR
105,Road,STR
106,Priya,PER
106,is,O
106,working,O
106,at,O
106,Infosys,ORG
106,in,O
106,Tamil,STA
106,Nadu,STA
106,in,O
106,Chennai,CIT
106,near,O
106,MG,STR
106,Road,STR
107,Ravi,PER
107,is,O
107,working,O
107,at,O
107,Tata,ORG
107,Consultancy,ORG
107,Services,ORG
107,in,O
107,Maharashtra,STA
107,in,O
107,Mumbai,CIT
107,near,O
107,Brigade,STR
107,Road,STR
108,Sneha,PER
108,is,O
108,working,O
108,at,O
108,Wipro,ORG
108,in,O
108,Karnataka,STA
108,in,O
108,Bangalore,CIT
108,near,O
108,Park,STR
108,Street,STR
109,Vikram,PER
109,is,O
109,working,O
109,at,O
109,HCL,ORG
109,Technologies,ORG
109,in,O
109,Kerala,STA
109,in,O
109,Kochi,CIT
109,near,O
109,Anna,STR
109,Salai,STR
110,Neha,PER
110,is,O
110,working,O
110,at,O
110,Tech,ORG
110,Mahindra,ORG
110,in,O
110,Andhra,STA
110,Pradesh,STA
110,in,O
110,Hyderabad,CIT
110,near,O
110,Link,STR
110,Road,STR
111,Arjun,PER
111,is,O
111,working,O
111,at,O
111,Infosys,ORG
111,in,O
111,Tamil,STA
111,Nadu,STA
111,in,O
111,Chennai,CIT
111,near,O
111,MG,STR
111,Road,STR
112,Kavita,PER
112,is,O
112,working,O
112,at,O
112,Tata,ORG
112,Consultancy,ORG
112,Services,ORG
112,in,O
112,Maharashtra,STA
112,in,O
112,Mumbai,CIT
112,near,O
112,Brigade,STR
112,Road,STR
113,Amit,PER
113,is,O
113,working,O
113,at,O
113,Wipro,ORG
113,in,O
113,Karnataka,STA
113,in,O
113,Bangalore,CIT
113,near,O
113,Park,STR
113,Street,STR
114,Priya,PER
114,is,O
114,working,O
114,at,O
114,HCL,ORG
114,Technologies,ORG
114,in,O
114,Kerala,STA
114,in,O
114,Kochi,CIT
114,near,O
114,Anna,STR
114,Salai,STR
115,Ravi,PER
115,is,O
115,working,O
115,at,O
115,Tech,ORG
115,Mahindra,ORG
115,in,O
115,Andhra,STA
115,Pradesh,STA
115,in,O
115,Hyderabad,CIT
115,near,O
115,Link,STR
115,Road,STR
116,Sneha,PER
116,is,O
116,working,O
116,at,O
116,Infosys,ORG
116,in,O
116,Tamil,STA
116,Nadu,STA
116,in,O
116,Chennai,CIT
116,near,O
116,MG,STR
116,Road,STR
117,Vikram,PER
117,is,O
117,working,O
117,at,O
117,Tata,ORG
117,Consultancy,ORG
117,Services,ORG
117,in,O
117,Maharashtra,STA
117,in,O
117,Mumbai,CIT
117,near,O
117,Brigade,STR
117,Road,STR
118,Neha,PER
118,is,O
118,working,O
118,at,O
118,Wipro,ORG
118,in,O
118,Karnataka,STA
118,in,O
118,Bangalore,CIT
118,near,O
118,Park,STR
118,Street,STR
119,Arjun,PER
119,is,O
119,working,O
119,at,O
119,HCL,ORG
119,Technologies,ORG
119,in,O
119,Kerala,STA
119,in,O
119,Kochi,CIT
119,near,O
119,Anna,STR
119,Salai,STR
120,Kavita,PER
120,is,O
120,working,O
120,at,O
120,Tech,ORG
120,Mahindra,ORG
120,in,O
120,Andhra,STA
120,Pradesh,STA
120,in,O
120,Hyderabad,CIT
120,near,O
120,Link,STR
120,Road,STR
121,Amit,PER
121,is,O
121,working,O
121,at,O
121,Infosys,ORG
121,in,O
121,Tamil,STA
121,Nadu,STA
121,in,O
121,Chennai,CIT
121,near,O
121,MG,STR
121,Road,STR
122,Priya,PER
122,is,O
122,working,O
122,at,O
122,Tata,ORG
122,Consultancy,ORG
122,Services,ORG
122,in,O
122,Maharashtra,STA
122,in,O
122,Mumbai,CIT
122,near,O
122,Brigade,STR
122,Road,STR
123,Ravi,PER
123,is,O
123,working,O
123,at,O
123,Wipro,ORG
123,in,O
123,Karnataka,STA
123,in,O
123,Bangalore,CIT
123,near,O
123,Park,STR
123,Street,STR
124,Sneha,PER
124,is,O
124,working,O
124,at,O
124,HCL,ORG
124,Technologies,ORG
124,in,O
124,Kerala,STA
124,in,O
124,Kochi,CIT
124,near,O
124,Anna,STR
124,Salai,STR
125,Vikram,PER
125,is,O
125,working,O
125,at,O
125,Tech,ORG
125,Mahindra,ORG
125,in,O
125,Andhra,STA
125,Pradesh,STA
125,in,O
125,Hyderabad,CIT
125,near,O
125,Link,STR
125,Road,STR
126,Neha,PER
126,is,O
126,working,O
126,at,O
126,Infosys,ORG
126,in,O
126,Tamil,STA
126,Nadu,STA
126,in,O
126,Chennai,CIT
126,near,O
126,MG,STR
126,Road,STR
127,Arjun,PER
127,is,O
127,working,O
127,at,O
127,Tata,ORG
127,Consultancy,ORG
127,Services,ORG
127,in,O
127,Maharashtra,STA
127,in,O
127,Mumbai,CIT
127,near,O
127,Brigade,STR
127,Road,STR
128,Kavita,PER
128,is,O
128,working,O
128,at,O
128,Wipro,ORG
128,in,O
128,Karnataka,STA
128,in,O
128,Bangalore,CIT
128,near,O
128,Park,STR
128,Street,STR
129,Amit,PER
129,is,O
129,working,O
129,at,O
129,HCL,ORG
129,Technologies,ORG
129,in,O
129,Kerala,STA
129,in,O
129,Kochi,CIT
129,near,O
129,Anna,STR
129,Salai,STR
130,Priya,PER
130,is,O
130,working,O
